mu,P_mui0,P_mui1,P_mui2,beta2,P_epsilon,P_kappa,P_gamma0,P_gamma1,P_gamma2,P_nu,cdr_b,P_h,P_j,Equi_incidence
0.015581427,0.081229286,0.073516131,0.444430276,50.3176476,0.103741923,0.655516493,0.584027613,0.582769079,0.244696066,0.047868762,0.640890741,0.011273052,0.003683063,317.0180683
0.017308318,0.060699631,0.074110195,0.339541159,47.47816372,0.083077707,0.646896127,0.572057047,0.571331939,0.389497382,0.03220964,0.76069029,0.027797932,0.046377381,49.80398279
0.01551891,0.060399266,0.062013425,0.335366845,51.11283165,0.11751586,0.591653326,0.576075923,0.564235478,0.365742918,0.049015657,0.612315294,0.045186729,0.032656287,485.1820373
0.015493993,0.075856942,0.064209211,0.364929518,54.14048679,0.113187682,0.687489847,0.560755354,0.570291877,0.219510538,0.055432634,0.632014876,0.024885098,0.038111656,451.6729161
0.015358625,0.063711125,0.073318854,0.480612913,49.04754098,0.091201329,0.673051499,0.566308564,0.578570096,0.263370196,0.058837683,0.648025478,0.031537075,0.018113672,316.9994061
0.014916594,0.066598313,0.06916973,0.349528733,51.96923915,0.120684734,0.649134755,0.562966721,0.561042576,0.377253678,0.035484772,0.741381864,0.031145495,0.018724592,205.8881486
0.017578523,0.079775986,0.05815551,0.469173895,40.56641662,0.098668761,0.685361922,0.57428645,0.58165497,0.243883039,0.023908151,0.547813805,0.048831665,0.020743343,131.5452399
0.015260527,0.070311749,0.060210973,0.356312871,54.50859873,0.084721847,0.608086787,0.570119156,0.564750523,0.246438734,0.047674904,0.730077211,0.048558852,0.028667313,285.4104979
0.017034175,0.071280534,0.070007598,0.44291882,36.48353921,0.099719158,0.681070619,0.566073586,0.575828253,0.351729175,0.056408424,0.710917432,0.014089951,0.012540486,143.5281015
0.015776288,0.056670095,0.074058074,0.495610944,46.41600949,0.107616373,0.578732596,0.562718378,0.574840872,0.266406178,0.068001022,0.679647666,0.01808539,0.018641105,435.9137917
0.016551697,0.067185588,0.0688073,0.340737018,45.47113901,0.087263709,0.61746054,0.567518689,0.559918042,0.285942304,0.028290545,0.651850371,0.023644736,0.040869849,172.9772363
0.017537369,0.064236534,0.061205272,0.50094815,51.35674285,0.096045671,0.631314006,0.562056982,0.555377273,0.295163509,0.04583079,0.787592283,0.026449781,0.00748615,120.4190426
0.014630703,0.071643798,0.061069772,0.439896991,47.71837219,0.108686537,0.567753049,0.559746212,0.568566361,0.196093653,0.039217508,0.70329937,0.015469923,0.042553446,300.2755562
0.014985438,0.062994492,0.075114942,0.446552772,39.52555914,0.102069918,0.641235445,0.583309133,0.55966949,0.351873227,0.033869485,0.743862357,0.017828241,0.020990496,56.78241927
0.014466334,0.05953578,0.078758338,0.458273987,40.62448807,0.097056608,0.616866082,0.583772981,0.56111301,0.410431473,0.044370156,0.619168736,0.042565464,0.007324456,225.7004586
0.015417227,0.057111598,0.072802587,0.416750395,33.55642504,0.107026133,0.665460854,0.580447783,0.579144434,0.249327095,0.06457345,0.636328837,0.045001459,0.002351265,313.3769307
0.016049904,0.054064516,0.060966066,0.292467621,47.51241611,0.114357239,0.635360643,0.583359476,0.576046002,0.328434681,0.030464449,0.660680879,0.032192868,0.045668935,252.5583368
0.014708341,0.050059092,0.071027143,0.398629335,40.50409049,0.107896356,0.699069564,0.555459395,0.583754455,0.340895956,0.050849029,0.711788721,0.043507853,0.034202944,192.8025433
0.014298691,0.083507959,0.054851137,0.333452398,48.57838519,0.119177063,0.608023495,0.58762033,0.577471735,0.37542247,0.028510243,0.597342643,0.025537918,0.040378019,296.8437626
0.014666202,0.074445025,0.08684005,0.338607527,51.43839353,0.099638867,0.65727805,0.581922313,0.567164231,0.368614186,0.0576514,0.629079053,0.037952015,0.037310644,390.5330184
0.015304121,0.064982549,0.053916215,0.456224183,50.72861005,0.099847734,0.594243911,0.575941472,0.580372878,0.325052481,0.059047935,0.653114002,0.045439623,0.044500261,403.5443902
